SUM([nb_comments]+[likes])/COUNT([image_url]);Number of Records;Created Time;Filter;Image URL;latitude;Number of likes;Link;Location;longitude;number of Comments;Tags;Text;Username
1159;1;23/08/2017 4:53:28 p.m.;Normal;https://scontent.cdninstagram.com/vp/45d3ba1bcde968b02ee7163baeb816bc/5B2CC4C9/t51.2885-15/s320x320/e35/20968955_1340780722687615_6687382917322113024_n.jpg;0;1150;https://www.instagram.com/p/BYJMqDWhVHF/;;0;9;leonisa,comotúninguna;Ven a nuestras TIENDAS y vive la experiencia de una compra personalizada que te va a encantar. Como tú, ninguna. #leonisa #ComoTúNinguna;leonisa
176;1;23/08/2017 2:39:43 a.m.;Normal;https://scontent.cdninstagram.com/vp/217ca797d7c1b918983228524a3131c8/5B3946D6/t51.2885-15/s320x320/e35/20968433_1047050805397440_2831534318910701568_n.jpg;0;175;https://www.instagram.com/p/BYHq9DChlyU/;;0;1;leonisa,comotúninguna;Encuentra en nuestra tienda online toda tu ropa interior favorita, en un solo lugar y sin salir de casa. (Link en nuestra bio)👆🏼 #leonisa #ComoTúNinguna;leonisa
453;1;22/08/2017 7:15:37 p.m.;Normal;https://scontent.cdninstagram.com/vp/0b79c9c4504c4f7c73fbdeb139c30b21/5B32D619/t51.2885-15/s320x320/e35/20968662_1725157764456714_8782413946507231232_n.jpg;0;443;https://www.instagram.com/p/BYG4IV4BIvu/;;0;10;leonisa,comotúninguna;Y tú, ¿ya hiciste tu pedido? Enamórate de nuestra campaña de amor y amistad  y de nuestro canal de VENTAS POR CATÁLOGO . ¡Te va a encantar!  #leonisa  #ComoTúNinguna;leonisa
391;1;21/08/2017 11:27:47 p.m.;Normal;https://scontent.cdninstagram.com/vp/6c075c482c8de1e98cc1c2e1ec09dd43/5B46FB65/t51.2885-15/s320x320/e35/20905123_124966771474764_9140038298238976000_n.jpg;0;383;https://www.instagram.com/p/BYEwMZyBRVy/;;0;8;leonisa,comotúninguna;Eso que te hace única, te hace hermosa... COMO TÚ NINGUNA.  #leonisa #ComoTúNinguna;leonisa
673;1;20/08/2017 5:58:19 p.m.;Normal;https://scontent.cdninstagram.com/vp/e261be81b622c216946bfacfaf549e2c/5B2F7A59/t51.2885-15/s320x320/e35/20902266_1668560973168502_7234578033053532160_n.jpg;0;668;https://www.instagram.com/p/BYBlsakBIhM/;;0;5;leonisa,comotúninguna;Atrévete a vivir en colores. Conoce la colección completa en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna;leonisa
1173;1;20/08/2017 12:46:51 a.m.;Normal;https://scontent.cdninstagram.com/vp/b188bbf8ebd3c11d48c3b0b40a13733e/5B446549/t51.2885-15/s320x320/e35/20902481_112073582809876_590412292139515904_n.jpg;0;1165;https://www.instagram.com/p/BX_vptiBsfL/;;0;8;leonisa,comotúninguna;Espaldas con detalles que serán los protagonistas de tu look.  Nueva colección disponible en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna;leonisa
600;1;19/08/2017 12:33:32 a.m.;Normal;https://scontent.cdninstagram.com/vp/126406250e0fb5183d73cfccd0a01015/5B440CB3/t51.2885-15/s320x320/e35/20902289_266475763865099_6668419704702369792_n.jpg;0;596;https://www.instagram.com/p/BX9JVWKBhOg/;;0;4;leonisa,comotuninguna;It's friday I'm in lace! Lleva el encaje de otra manera, con color y frescura. #leonisa #ComoTuNinguna;leonisa
737;1;18/08/2017 12:16:00 a.m.;Normal;https://scontent.cdninstagram.com/vp/91e3fb7d33c3a4c9505709542d22ef72/5B4317A0/t51.2885-15/s320x320/e35/20837589_1386734581446643_5306493726988697600_n.jpg;0;728;https://www.instagram.com/p/BX6iiEChi0N/;;0;9;leonisa,comotúninguna;Nuevos bralettes en encaje, que son perfectos para sentirte única cada día de la semana. #leonisa #ComoTúNinguna;leonisa
813;1;17/08/2017 1:35:03 a.m.;Normal;https://scontent.cdninstagram.com/vp/15c2022f9656559b459e6cbc4c4e16ee/5B2CF8E8/t51.2885-15/s320x320/e35/20837392_152578281988978_8762471588718182400_n.jpg;0;812;https://www.instagram.com/p/BX4GyIrh65-/;;0;1;leonisa,comotúninguna;Llena tus días de color con todo lo que te gusta. La nueva colección de bralettes y panties te encantará. #leonisa #ComoTúNinguna;leonisa
555;1;16/08/2017 5:17:59 p.m.;Normal;https://scontent.cdninstagram.com/vp/ac9b37e1cdddddf9bf6dcf8f0cc7f508/5B4C08C4/t51.2885-15/s320x320/e35/20838321_882647508550142_8501773353093169152_n.jpg;0;550;https://www.instagram.com/p/BX3N5dXhYN9/;;0;5;leonisa,comotúninguna;"Esta colección es para ti, que te gusta verte única y sentirte segura.

Encuentra todo lo nuevo en nuestro catálogo, tiendas Leonisa y tienda Online. #leonisa #ComoTúNinguna";leonisa
571;1;16/08/2017 1:26:52 a.m.;Normal;https://scontent.cdninstagram.com/vp/66a0ce628ebcf1b327555377b90fb0f4/5B755BB6/t51.2885-15/s320x320/e35/20838191_825607727619589_5200880326561234944_n.jpg;0;566;https://www.instagram.com/p/BX1hDTfB8Qu/;;0;5;leonisa,comotúninguna;"¡Nuestros nuevos favoritos! Bras con estampados románticos y con colores para enamorarse. ¿Te gustan? 
#leonisa #ComoTúNinguna";leonisa
429;1;15/08/2017 7:02:53 p.m.;Normal;https://scontent.cdninstagram.com/vp/0eb7186d0bb7f34f647ec03be72f3058/5B3A9D7A/t51.2885-15/s320x320/e35/20905116_1509971819061468_3785190227409108992_n.jpg;0;424;https://www.instagram.com/p/BX01G7Ch_WF/;;0;5;leonisa,comotúninguna;"Despierta tu lado más sexy... con un nuevo look interior. 
Encuentra la nueva colección de bras en nuestro catálogo y en tienda Online. #leonisa #ComoTúNinguna";leonisa
